,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
510417: SMART RINSE CAPACITY (1. Backlog Project),510417,SMART RINSE CAPACITY,NAM,,1. Backlog Project,,Active
510429: AIR PRODUCTS LAPORTE (1. Backlog Project),510429,AIR PRODUCTS LAPORTE,NAM,,1. Backlog Project,,Active
510430: GILBERT NORTH AZ-03 (1. Backlog Project),510430,GILBERT NORTH AZ-03,NAM,,1. Backlog Project,,Active
510431: CARGILL HIGH RIVER - (1. Backlog Project),510431,CARGILL HIGH RIVER -,NAM,,1. Backlog Project,,Active
510432: MILKY MIST PHASE 2-E (1. Backlog Project),510432,MILKY MIST PHASE 2-E,INDIA,,1. Backlog Project,,Active
510439: CA-BUFFALO POUND.-EN (1. Backlog Project),510439,CA-BUFFALO POUND.-EN,NAM,,1. Backlog Project,,Active
510440: NESTLES EAU CLARIE-E (1. Backlog Project),510440,NESTLES EAU CLARIE-E,NAM,,1. Backlog Project,,Active
510444: FORMOSA POINT COMFOR (1. Backlog Project),510444,FORMOSA POINT COMFOR,NAM,,1. Backlog Project,,Active
510450: NESTLE MOGA 1.8MLD M (1. Backlog Project),510450,NESTLE MOGA 1.8MLD M,,,1. Backlog Project,,Active
510456: FORMOSA TT - DAFS - (1. Backlog Project),510456,FORMOSA TT - DAFS -,NAM,,1. Backlog Project,,Active
510461: MASPHEE UV - PRJSHEL (1. Backlog Project),510461,MASPHEE UV - PRJSHEL,NAM,,1. Backlog Project,,Active
510464: CAESARS LANE - PRJSH (1. Backlog Project),510464,CAESARS LANE - PRJSH,NAM,,1. Backlog Project,,Active
510468: HOLBORN REFINERY-ENG (1. Backlog Project),510468,HOLBORN REFINERY-ENG,EUR,,1. Backlog Project,,Active
510469: METROPOLITAN SEWER D (1. Backlog Project),510469,METROPOLITAN SEWER D,NAM,,1. Backlog Project,,Active
510491: USGC2 CPCHEM UF & DE (1. Backlog Project),510491,USGC2 CPCHEM UF & DE,NAM,,1. Backlog Project,,Active
510494: COLLINS AEROSPACE - (1. Backlog Project),510494,COLLINS AEROSPACE -,NAM,,1. Backlog Project,,Active
510495: US   UT  CENTRAL WEB (1. Backlog Project),510495,US   UT  CENTRAL WEB,,,1. Backlog Project,,Active
510500: COKE BATON ROUGE - P (1. Backlog Project),510500,COKE BATON ROUGE - P,NAM,,1. Backlog Project,,Active
510503: PEPSI VALHALLA R&D - (1. Backlog Project),510503,PEPSI VALHALLA R&D -,NAM,,1. Backlog Project,,Active
510511: DECCAN FINE CHEMICAL (1. Backlog Project),510511,DECCAN FINE CHEMICAL,INDIA,,1. Backlog Project,,Active
510515: NESTLE SANAND-COMMIS (1. Backlog Project),510515,NESTLE SANAND-COMMIS,INDIA,,1. Backlog Project,,Active
510516: MOBILE POSEIDON PPM1 (1. Backlog Project),510516,MOBILE POSEIDON PPM1,NAM,,1. Backlog Project,,Active
510523: KARMIEL (MODOTEC WAT (1. Backlog Project),510523,KARMIEL (MODOTEC WAT,EUR,,1. Backlog Project,,Active
510566: EUROPE - SUPER CIP S (1. Backlog Project),510566,EUROPE - SUPER CIP S,EUR,,1. Backlog Project,,Active
510569: ROTORUA EXPANSION-EN (1. Backlog Project),510569,ROTORUA EXPANSION-EN,ANZ,,1. Backlog Project,,Active
510572: SYDNEY SCIENCE PARK- (1. Backlog Project),510572,SYDNEY SCIENCE PARK-,ANZ,,1. Backlog Project,,Active
510573: PEACH BOTTOM STORAGE (1. Backlog Project),510573,PEACH BOTTOM STORAGE,NAM,,1. Backlog Project,,Active
510575: SWEENY WTP - PRJSHEL (1. Backlog Project),510575,SWEENY WTP - PRJSHEL,NAM,,1. Backlog Project,,Active
510578: COKE BEVERAGE BASE P (1. Backlog Project),510578,COKE BEVERAGE BASE P,NAM,,1. Backlog Project,,Active
510581: ERAMET LITHIUM EXTRA (1. Backlog Project),510581,ERAMET LITHIUM EXTRA,EUR,,1. Backlog Project,,Active
510624: INTEL RA AMS 2023 (1. Backlog Project),510624,INTEL RA AMS 2023,,,1. Backlog Project,,Active
510626: T&M- INTEL OC SITE A (1. Backlog Project),510626,T&M- INTEL OC SITE A,NAM,,1. Backlog Project,,Active
510627: METRO VANCOUVER PILO (1. Backlog Project),510627,METRO VANCOUVER PILO,NAM,,1. Backlog Project,,Active
510628: TREASURE ISLAND - PR (1. Backlog Project),510628,TREASURE ISLAND - PR,NAM,,1. Backlog Project,,Active
510629: SEDRA ROSHN - PRJSHE (1. Backlog Project),510629,SEDRA ROSHN - PRJSHE,MEA,,1. Backlog Project,,Active
510642: LINDE MCINTOSH NEW L (1. Backlog Project),510642,LINDE MCINTOSH NEW L,NAM,,1. Backlog Project,,Active
510647: EUROPE-CONTROL AND M (1. Backlog Project),510647,EUROPE-CONTROL AND M,EUR,,1. Backlog Project,,Active
510654: SEDRA ROSHN-ENG~DOC (1. Backlog Project),510654,SEDRA ROSHN-ENG~DOC,MEA,,1. Backlog Project,,Active
510656: MERGRETELUND (OVAR) (1. Backlog Project),510656,MERGRETELUND (OVAR),EUR,,1. Backlog Project,,Active
510659: ADVEN BPED & RENTAL (1. Backlog Project),510659,ADVEN BPED & RENTAL,EUR,,1. Backlog Project,,Active
510660: MOONLIGHT BASIN - PR (1. Backlog Project),510660,MOONLIGHT BASIN - PR,NAM,,1. Backlog Project,,Active
510670: SUNDIT BLUE SKY DENS (1. Backlog Project),510670,SUNDIT BLUE SKY DENS,NAM,,1. Backlog Project,,Active
510674: 1 POINT FIVE-ENG~MEC (1. Backlog Project),510674,1 POINT FIVE-ENG~MEC,NAM,,1. Backlog Project,,Active
510675: EASLEY MIDDLE BRANCH (1. Backlog Project),510675,EASLEY MIDDLE BRANCH,NAM,,1. Backlog Project,,Active
510691: B-001974 FPSO P-82 S (1. Backlog Project),510691,B-001974 FPSO P-82 S,LAM,,1. Backlog Project,,Active
510718: ROLLINS HILLS & EAGL (1. Backlog Project),510718,ROLLINS HILLS & EAGL,NAM,,1. Backlog Project,,Active
510780: QUINCY VETERAN HOME- (1. Backlog Project),510780,QUINCY VETERAN HOME-,NAM,,1. Backlog Project,,Active
510788: JEFFERSONVILLE - IN (1. Backlog Project),510788,JEFFERSONVILLE - IN,NAM,,1. Backlog Project,,Active
510792: EUROPE - 240GPM RO U (1. Backlog Project),510792,EUROPE - 240GPM RO U,EUR,,1. Backlog Project,,Active
510797: ELANORA MABR-ENG~DOC (1. Backlog Project),510797,ELANORA MABR-ENG~DOC,ANZ,,1. Backlog Project,,Active
510818: SEPT ILES MONOFLOR - (1. Backlog Project),510818,SEPT ILES MONOFLOR -,NAM,,1. Backlog Project,,Active
510822: MALMBERG KALMAR TT-U (1. Backlog Project),510822,MALMBERG KALMAR TT-U,EUR,,1. Backlog Project,,Active
510832: P-82 SINGAPORE-ENG~P (1. Backlog Project),510832,P-82 SINGAPORE-ENG~P,LAM,,1. Backlog Project,,Active
510834: TIPPIN WTP - CITY OF (1. Backlog Project),510834,TIPPIN WTP - CITY OF,NAM,,1. Backlog Project,,Active
510838: NIAGARA JACKSONVILLE (1. Backlog Project),510838,NIAGARA JACKSONVILLE,NAM,,1. Backlog Project,,Active
510841: CONTAINERIZED MFDI-E (1. Backlog Project),510841,CONTAINERIZED MFDI-E,GRC,,1. Backlog Project,,Active
"510844: LYONDELL LAPORTE, TX (1. Backlog Project)",510844,"LYONDELL LAPORTE, TX",NAM,,1. Backlog Project,,Active
510848: LOWA HILL WRF IFAS - (1. Backlog Project),510848,LOWA HILL WRF IFAS -,NAM,,1. Backlog Project,,Active
510855: TAMPA BAY WATER-ENG~ (1. Backlog Project),510855,TAMPA BAY WATER-ENG~,NAM,,1. Backlog Project,,Active
510869: AD MAKEPEACE WWTP-EN (1. Backlog Project),510869,AD MAKEPEACE WWTP-EN,NAM,,1. Backlog Project,,Active
510876: LEPRINO LUBBOCK GREE (1. Backlog Project),510876,LEPRINO LUBBOCK GREE,NAM,,1. Backlog Project,,Active
510882: 1POINTFIVE DAC-1 RWT (1. Backlog Project),510882,1POINTFIVE DAC-1 RWT,NAM,,1. Backlog Project,,Active
510890: SCHREIBER FOODS TEMP (1. Backlog Project),510890,SCHREIBER FOODS TEMP,NAM,,1. Backlog Project,,Active
510894: NIAGARA MINNEAPOLIS (1. Backlog Project),510894,NIAGARA MINNEAPOLIS,NAM,,1. Backlog Project,,Active
510906: ACRD MBR EXPANSION - (1. Backlog Project),510906,ACRD MBR EXPANSION -,NAM,,1. Backlog Project,,Active
510911: 2400 KLD COKE OVEN W (1. Backlog Project),510911,2400 KLD COKE OVEN W,INDIA,,1. Backlog Project,,Active
510919: INFINERA RO-DI SYSTE (1. Backlog Project),510919,INFINERA RO-DI SYSTE,NAM,,1. Backlog Project,,Active
510929: SAN DIEGO CAWRP 03/B (1. Backlog Project),510929,SAN DIEGO CAWRP 03/B,NAM,,1. Backlog Project,,Active
510935: ADI MAXIM BEAVERTON- (1. Backlog Project),510935,ADI MAXIM BEAVERTON-,NAM,,1. Backlog Project,,Active
510936: TOWN OF MOOSOMIN SK (1. Backlog Project),510936,TOWN OF MOOSOMIN SK,NAM,,1. Backlog Project,,Active
510943: TATA STEEL EUROPE P& (1. Backlog Project),510943,TATA STEEL EUROPE P&,NAM,,1. Backlog Project,,Active
510969: NESTLE CHEMBONG WWTP (1. Backlog Project),510969,NESTLE CHEMBONG WWTP,ANZ,,1. Backlog Project,,Active
510973: STADT OELDE MBR PILO (1. Backlog Project),510973,STADT OELDE MBR PILO,EUR,,1. Backlog Project,,Active
510984: TOWN OF AMHERST MA - (1. Backlog Project),510984,TOWN OF AMHERST MA -,NAM,,1. Backlog Project,,Active
511013: PETSTAR TOLUCA MEXIC (1. Backlog Project),511013,PETSTAR TOLUCA MEXIC,,,1. Backlog Project,,Active
511037: MADISONVILLE 2 TRAIN (1. Backlog Project),511037,MADISONVILLE 2 TRAIN,NAM,,1. Backlog Project,,Active
511045: 0339 WARRANTY 2023-L (1. Backlog Project),511045,0339 WARRANTY 2023-L,EUR,,1. Backlog Project,,Active
511054: HEARTLAND WST WTR-PR (1. Backlog Project),511054,HEARTLAND WST WTR-PR,NAM,,1. Backlog Project,,Active
511059: KANPAK-PEPSI COPACKE (1. Backlog Project),511059,KANPAK-PEPSI COPACKE,NAM,,1. Backlog Project,,Active
511061: HEARTLAND COCA-COLA (1. Backlog Project),511061,HEARTLAND COCA-COLA,NAM,,1. Backlog Project,,Active
511068: TATA POWER SOLAR 4 G (1. Backlog Project),511068,TATA POWER SOLAR 4 G,INDIA,,1. Backlog Project,,Active
511072: EAST PENN VAPOR COMP (1. Backlog Project),511072,EAST PENN VAPOR COMP,NAM,,1. Backlog Project,,Active
511082: JAMES RIVER WWTP-ENG (1. Backlog Project),511082,JAMES RIVER WWTP-ENG,NAM,,1. Backlog Project,,Active
511090: F. WAYNE HILL WWTP-E (1. Backlog Project),511090,F. WAYNE HILL WWTP-E,NAM,,1. Backlog Project,,Active
511095: FABRICA KNIT COMPOSI (1. Backlog Project),511095,FABRICA KNIT COMPOSI,INDIA,,1. Backlog Project,,Active
511129: ZEEDENSE DEMO PUB OR (1. Backlog Project),511129,ZEEDENSE DEMO PUB OR,ANZ,,1. Backlog Project,,Active
511130: CAMBRIDGE MBR-ENG~AU (1. Backlog Project),511130,CAMBRIDGE MBR-ENG~AU,ANZ,,1. Backlog Project,,Active
511131: MARQUIS POWER - CHP (1. Backlog Project),511131,MARQUIS POWER - CHP,NAM,,1. Backlog Project,,Active
"511132: REPUBLIC, MO BIO-P M (1. Backlog Project)",511132,"REPUBLIC, MO BIO-P M",NAM,,1. Backlog Project,,Active
511134: AMERICAN ORGANIC ENE (1. Backlog Project),511134,AMERICAN ORGANIC ENE,NAM,,1. Backlog Project,,Active
511140: ESEP - IX PILOT LINE (1. Backlog Project),511140,ESEP - IX PILOT LINE,NAM,,1. Backlog Project,,Active
511146: AIR PRODUCTS - EDMON (1. Backlog Project),511146,AIR PRODUCTS - EDMON,NAM,,1. Backlog Project,,Active
511151: MICRON 10X LSR - PRE (1. Backlog Project),511151,MICRON 10X LSR - PRE,ANZ,,1. Backlog Project,,Active
511152: UPPER SOUTH CREEK RO (1. Backlog Project),511152,UPPER SOUTH CREEK RO,ANZ,,1. Backlog Project,,Active
511155: CAP-VARESE WWTP/GIUD (1. Backlog Project),511155,CAP-VARESE WWTP/GIUD,EUR,,1. Backlog Project,,Active
511156: CRYSTAL GEYSER HOUST (1. Backlog Project),511156,CRYSTAL GEYSER HOUST,NAM,,1. Backlog Project,,Active
511157: HARRY TRACY WTP - PL (1. Backlog Project),511157,HARRY TRACY WTP - PL,NAM,,1. Backlog Project,,Active
511158: WAYWAYSEECAPPO FIRST (1. Backlog Project),511158,WAYWAYSEECAPPO FIRST,NAM,,1. Backlog Project,,Active
511161: 3M GENDORF EQUIPMENT (1. Backlog Project),511161,3M GENDORF EQUIPMENT,,,1. Backlog Project,,Active
511163: NEMS FULTON SUPERP-G (1. Backlog Project),511163,NEMS FULTON SUPERP-G,NAM,,1. Backlog Project,,Active
511165: TOWN OF ACTON LTSA-E (1. Backlog Project),511165,TOWN OF ACTON LTSA-E,NAM,,1. Backlog Project,,Active
511171: P-80-FPSO-SEATRIUM-S (1. Backlog Project),511171,P-80-FPSO-SEATRIUM-S,LAM,,1. Backlog Project,,Active
511172: P-83-FPSO-SEATRIUM-S (1. Backlog Project),511172,P-83-FPSO-SEATRIUM-S,LAM,,1. Backlog Project,,Active
511174: TOLLESON EDR - WELL (1. Backlog Project),511174,TOLLESON EDR - WELL,NAM,,1. Backlog Project,,Active
511175: SAMA SNF BUY BACK P (1. Backlog Project),511175,SAMA SNF BUY BACK P,,,1. Backlog Project,,Active
511177: ACCO RO-UHP360 SYSTE (1. Backlog Project),511177,ACCO RO-UHP360 SYSTE,NAM,,1. Backlog Project,,Active
511187: SWW - ST AUSTELL DES (1. Backlog Project),511187,SWW - ST AUSTELL DES,EUR,,1. Backlog Project,,Active
511192: P-80-FPSO-SEATRIUM-B (1. Backlog Project),511192,P-80-FPSO-SEATRIUM-B,LAM,,1. Backlog Project,,Active
511193: P-83-FPSO-SEATRIUM-B (1. Backlog Project),511193,P-83-FPSO-SEATRIUM-B,LAM,,1. Backlog Project,,Active
511201: SIENNA PLANTATION WW (1. Backlog Project),511201,SIENNA PLANTATION WW,NAM,,1. Backlog Project,,Active
511209: COKE COLLEGE PARK NF (1. Backlog Project),511209,COKE COLLEGE PARK NF,NAM,,1. Backlog Project,,Active
511214: SION LAKE 1 MLD MOBI (1. Backlog Project),511214,SION LAKE 1 MLD MOBI,INDIA,,1. Backlog Project,,Active
511215: LIBERTY HILL NORTH F (1. Backlog Project),511215,LIBERTY HILL NORTH F,NAM,,1. Backlog Project,,Active
511217: R.M. LEVY WTP-ENG~DO (1. Backlog Project),511217,R.M. LEVY WTP-ENG~DO,NAM,,1. Backlog Project,,Active
511234: VERSAMATE 45CF- QUAN (1. Backlog Project),511234,VERSAMATE 45CF- QUAN,NAM,,1. Backlog Project,,Active
511246: SCCMUA WWTP-ENG~MECH (1. Backlog Project),511246,SCCMUA WWTP-ENG~MECH,NAM,,1. Backlog Project,,Active
511248: JAMIESON CANYON WTP- (1. Backlog Project),511248,JAMIESON CANYON WTP-,NAM,,1. Backlog Project,PS Proj,Active
511249: BALING PETROCHEMICAL (1. Backlog Project),511249,BALING PETROCHEMICAL,GRC,,1. Backlog Project,,Active
511250: L'ILE PERROT (REIP) (1. Backlog Project),511250,L'ILE PERROT (REIP),NAM,,1. Backlog Project,,Active
511257: SAND ISLAND MBR-ENG~ (1. Backlog Project),511257,SAND ISLAND MBR-ENG~,NAM,,1. Backlog Project,,Active
"511258: LYONDELL TUSCOLA, IL (1. Backlog Project)",511258,"LYONDELL TUSCOLA, IL",NAM,,1. Backlog Project,,Active
511259: PURCHASE OF SOFTENIN (1. Backlog Project),511259,PURCHASE OF SOFTENIN,MEA,,1. Backlog Project,,Active
511261: SULB UPGRADE-ENG~PRO (1. Backlog Project),511261,SULB UPGRADE-ENG~PRO,MEA,,1. Backlog Project,,Active
511285: MICRON 10A1 LOOP 2 T (1. Backlog Project),511285,MICRON 10A1 LOOP 2 T,ANZ,,1. Backlog Project,,Active
511294: NUTRIEN - UF SKID EX (1. Backlog Project),511294,NUTRIEN - UF SKID EX,NAM,,1. Backlog Project,,Active
511295: SHREIBER FOOD BEV WA (1. Backlog Project),511295,SHREIBER FOOD BEV WA,NAM,,1. Backlog Project,,Active
511323: SALUDA UV-ENG~DOC CO (1. Backlog Project),511323,SALUDA UV-ENG~DOC CO,NAM,,1. Backlog Project,,Active
511325: INTEL F34 NF PROJECT (1. Backlog Project),511325,INTEL F34 NF PROJECT,EUR,,1. Backlog Project,,Active
511335: JORDON BASIN UT MBR (1. Backlog Project),511335,JORDON BASIN UT MBR,NAM,,1. Backlog Project,,Active
511347: EUROPE - 4X VERSAFLO (1. Backlog Project),511347,EUROPE - 4X VERSAFLO,EUR,,1. Backlog Project,,Active
511367: WAGONER WTP PHASE 5 (1. Backlog Project),511367,WAGONER WTP PHASE 5,NAM,,1. Backlog Project,,Active
511379: BARRIE SURF WTP CONT (1. Backlog Project),511379,BARRIE SURF WTP CONT,NAM,,1. Backlog Project,,Active
511381: T&M- DUFFIN CREEK-EN (1. Backlog Project),511381,T&M- DUFFIN CREEK-EN,NAM,,1. Backlog Project,,Active
511383: NIAGARA MONT WAT FAR (1. Backlog Project),511383,NIAGARA MONT WAT FAR,NAM,,1. Backlog Project,,Active
511389: ST PAUL MWWTP FOURTH (1. Backlog Project),511389,ST PAUL MWWTP FOURTH,NAM,,1. Backlog Project,,Active
511394: NESTLE SANAND 200KLD (1. Backlog Project),511394,NESTLE SANAND 200KLD,INDIA,,1. Backlog Project,,Active
511395: LOUDON COUNTRY 370 R (1. Backlog Project),511395,LOUDON COUNTRY 370 R,NAM,,1. Backlog Project,,Active
511399: 1POINTFIVE DAC-1 RWT (1. Backlog Project),511399,1POINTFIVE DAC-1 RWT,NAM,,1. Backlog Project,,Active
511412: POTSDAM 146Q MBR T12 (1. Backlog Project),511412,POTSDAM 146Q MBR T12,MEA,,1. Backlog Project,,Active
511419: WINDHAM WWTP - MBR O (1. Backlog Project),511419,WINDHAM WWTP - MBR O,NAM,,1. Backlog Project,,Active
511422: MCGM RIVER PROJ 20.5 (1. Backlog Project),511422,MCGM RIVER PROJ 20.5,INDIA,,1. Backlog Project,,Active
511426: PEPSICO CELAYA-ENG~A (1. Backlog Project),511426,PEPSICO CELAYA-ENG~A,LAM,,1. Backlog Project,,Active
511431: INTEL CARDINAL WATER (1. Backlog Project),511431,INTEL CARDINAL WATER,,,1. Backlog Project,,Active
511452: ENVIROCHEMIE NOVARTI (1. Backlog Project),511452,ENVIROCHEMIE NOVARTI,EUR,,1. Backlog Project,,Active
511465: FONTERRA HAUTAPU MBR (1. Backlog Project),511465,FONTERRA HAUTAPU MBR,ANZ,,1. Backlog Project,,Active
511473: MTKA P5 NITROGEN VAL (1. Backlog Project),511473,MTKA P5 NITROGEN VAL,NAM,,1. Backlog Project,,Active
511475: RAS LAFFAN PETROCHEM (1. Backlog Project),511475,RAS LAFFAN PETROCHEM,VEPS,,1. Backlog Project,,Active
511488: ST AUGUSTINE ST JOHN (1. Backlog Project),511488,ST AUGUSTINE ST JOHN,NAM,,1. Backlog Project,,Active
511496: UNITED UTILITIES BOL (1. Backlog Project),511496,UNITED UTILITIES BOL,EUR,,1. Backlog Project,,Active
511502: INTEL OC WTR PH3 CRY (1. Backlog Project),511502,INTEL OC WTR PH3 CRY,NAM,,1. Backlog Project,,Active
511504: SUEZ NOVOZYMES MBR P (1. Backlog Project),511504,SUEZ NOVOZYMES MBR P,EUR,,1. Backlog Project,,Active
511514: GKW FLERZHEIM MBR-EN (1. Backlog Project),511514,GKW FLERZHEIM MBR-EN,EUR,,1. Backlog Project,,Active
511523: YCUA UV DISINFECTION (1. Backlog Project),511523,YCUA UV DISINFECTION,NAM,,1. Backlog Project,,Active
511543: 0493 WARRANTY-LABOR~ (1. Backlog Project),511543,0493 WARRANTY-LABOR~,NAM,,1. Backlog Project,,Active
511569: BLUE SKY WRF PRE-REL (1. Backlog Project),511569,BLUE SKY WRF PRE-REL,NAM,,1. Backlog Project,,Active
511573: SIMPLOT PROJECT RAIN (1. Backlog Project),511573,SIMPLOT PROJECT RAIN,NAM,,1. Backlog Project,,Active
511574: AIR PROD MASSENA UF/ (1. Backlog Project),511574,AIR PROD MASSENA UF/,NAM,,1. Backlog Project,,Active
511576: SHERMAN TX MBR PRE-R (1. Backlog Project),511576,SHERMAN TX MBR PRE-R,NAM,,1. Backlog Project,,Active
511577: VENTURA MBR PRE-REL- (1. Backlog Project),511577,VENTURA MBR PRE-REL-,NAM,,1. Backlog Project,,Active
511590: SHTANG DOVRAT MBR PR (1. Backlog Project),511590,SHTANG DOVRAT MBR PR,EUR,,1. Backlog Project,,Active
511595: NESTLÉ SAVANNAH GA R (1. Backlog Project),511595,NESTLÉ SAVANNAH GA R,NAM,,1. Backlog Project,,Active
511604: MOSES LAKE INDUS 60G (1. Backlog Project),511604,MOSES LAKE INDUS 60G,NAM,,1. Backlog Project,,Active
511634: ROANOKE RIVER SERV A (1. Backlog Project),511634,ROANOKE RIVER SERV A,NAM,,1. Backlog Project,,Active
511639: VOLKSWAGEN DE MÉXICO (1. Backlog Project),511639,VOLKSWAGEN DE MÉXICO,LAM,,1. Backlog Project,,Active
511647: WINTER GARDEN AWTP E (1. Backlog Project),511647,WINTER GARDEN AWTP E,NAM,,1. Backlog Project,,Active
511656: GRAND FORKS ND MBR P (1. Backlog Project),511656,GRAND FORKS ND MBR P,NAM,,1. Backlog Project,,Active
511657: GRAND CANYON NATIONA (1. Backlog Project),511657,GRAND CANYON NATIONA,NAM,,1. Backlog Project,,Active
511661: BOLTON MABR ENGG ONL (1. Backlog Project),511661,BOLTON MABR ENGG ONL,EUR,,1. Backlog Project,,Active
511680: ST JAMES PARISH EAST (1. Backlog Project),511680,ST JAMES PARISH EAST,NAM,,1. Backlog Project,,Active
511686: C9 WEBEX IDLE ROLLER (1. Backlog Project),511686,C9 WEBEX IDLE ROLLER,NAM,,1. Backlog Project,,Active
511690: NAM PHASE 1 UF500 LA (1. Backlog Project),511690,NAM PHASE 1 UF500 LA,NAM,,1. Backlog Project,,Active
511699: DRINKPAK GREENFIELD (1. Backlog Project),511699,DRINKPAK GREENFIELD,NAM,,1. Backlog Project,,Active
511711: LAKE HIGHLAND- OUC-O3(1. Backlog Project),511711,LAKE HIGHLAND- OUC-O3,NAM,,1. Backlog Project,PS Proj,Active
511712: NEUSE COLONY WWTF PR (1. Backlog Project),511712,NEUSE COLONY WWTF PR,NAM,,1. Backlog Project,,Active
511720: EAGP MPAK-60 QTY 2 2 (1. Backlog Project),511720,EAGP MPAK-60 QTY 2 2,EUR,Europe Project,1. Backlog Project,PS Proj,Active
511723: WELLSFORD WWTP MABR (1. Backlog Project),511723,WELLSFORD WWTP MABR,ANZ,,1. Backlog Project,,Active
511732: Hindalco Industries  (2. ITO),511732,"Hindalco Industries LTD Renukoot 16 MLD, STP Plant ",INDIA,,2. ITO,ITO,Active
511738: EAGP M52 QTY 1 2024 (1. Backlog Project),511738,EAGP M52 QTY 1 2024,EUR,,1. Backlog Project,,Active
511743: DAIKIN PFAS TREATMEN (1. Backlog Project),511743,DAIKIN PFAS TREATMEN,NAM,,1. Backlog Project,,Active
511744: DAIKIN PFAS TREATMEN (1. Backlog Project),511744,DAIKIN PFAS TREATMEN,NAM,,1. Backlog Project,,Active
511747: AIR PRODUCTS DARROW (1. Backlog Project),511747,AIR PRODUCTS DARROW,NAM,,1. Backlog Project,,Active
511749: AIR PROD DARROW BIO (1. Backlog Project),511749,AIR PROD DARROW BIO,NAM,,1. Backlog Project,,Active
511750: CAPTURE6 DAC DEMO FA (1. Backlog Project),511750,CAPTURE6 DAC DEMO FA,NAM,,1. Backlog Project,,Active
511763: ARCADIA FARMS LLC-EN (1. Backlog Project),511763,ARCADIA FARMS LLC-EN,NAM,,1. Backlog Project,,Active
511764: CALAVERAS COUNTY CA (1. Backlog Project),511764,CALAVERAS COUNTY CA,NAM,,1. Backlog Project,,Active
511782: EAGP EDI QTY 1 EUR 2(1. Backlog Project),511782,EAGP EDI QTY 1 EUR 2,EUR,,1. Backlog Project,PS Proj,Active
511784: EAGP MFDI QTY 2 EUR (1. Backlog Project),511784,EAGP MFDI QTY 2 EUR,EUR,,1. Backlog Project,,Active
511798: INTEL GTM POS & PROG (1. Backlog Project),511798,INTEL GTM POS & PROG,NAM,,1. Backlog Project,,Active
511802: PBF TORRANCES EXTENS (1. Backlog Project),511802,PBF TORRANCES EXTENS,NAM,,1. Backlog Project,,Active
511808: NEW RECOV RO SWIRE C (1. Backlog Project),511808,NEW RECOV RO SWIRE C,NAM,,1. Backlog Project,,Active
511813: TWUNITECHINNOLUX MBR (1. Backlog Project),511813,TWUNITECHINNOLUX MBR,GRC,,1. Backlog Project,,Active
511817: MBR PACK 500KLD WORL (1. Backlog Project),511817,MBR PACK 500KLD WORL,INDIA,,1. Backlog Project,,Active
511826: ASPC LEWIS EDR ST RE (1. Backlog Project),511826,ASPC LEWIS EDR ST RE,NAM,,1. Backlog Project,,Active
511827: NEW BRAUNFELS MCKENZ (1. Backlog Project),511827,NEW BRAUNFELS MCKENZ,NAM,,1. Backlog Project,,Active
511842: TATE&LYLE EFFLUENT T (1. Backlog Project),511842,TATE&LYLE EFFLUENT T,ANZ,,1. Backlog Project,,Active
511845: NESTLE NANJANGUD MBR (1. Backlog Project),511845,NESTLE NANJANGUD MBR,INDIA,,1. Backlog Project,,Active
511863: GREAT LAKES COCA COL (1. Backlog Project),511863,GREAT LAKES COCA COL,NAM,,1. Backlog Project,,Active
511866: OAK BLUFFS MA WWTP U (1. Backlog Project),511866,OAK BLUFFS MA WWTP U,NAM,,1. Backlog Project,,Active
511868: NESTLE MOGA 1.8MLD E (1. Backlog Project),511868,NESTLE MOGA 1.8MLD E,INDIA,,1. Backlog Project,,Active
511870: INTEL CARDINAL OHIO (1. Backlog Project),511870,INTEL CARDINAL OHIO,NAM,,1. Backlog Project,,Active
511878: NIAGARA MESA WTR FAR (1. Backlog Project),511878,NIAGARA MESA WTR FAR,NAM,,1. Backlog Project,,Active
511879: ENTERPRISE FRAC 14-E (1. Backlog Project),511879,ENTERPRISE FRAC 14-E,NAM,,1. Backlog Project,,Active
511882: INTEL RA CUB2 IXMIXA (1. Backlog Project),511882,INTEL RA CUB2 IXMIXA,NAM,,1. Backlog Project,,Active
511883: PURE SALMON BRUNEI E (1. Backlog Project),511883,PURE SALMON BRUNEI E,ANZ,,1. Backlog Project,,Active
511891: PEPSICO VIKRAM 200 K (1. Backlog Project),511891,PEPSICO VIKRAM 200 K,INDIA,,1. Backlog Project,,Active
511893: PROJECT EL CAMINO-EN (1. Backlog Project),511893,PROJECT EL CAMINO-EN,NAM,,1. Backlog Project,,Active
511897: ELANCO WWT TREAT SYS (1. Backlog Project),511897,ELANCO WWT TREAT SYS,NAM,,1. Backlog Project,,Active
511899: PTAR ALPURA CUATITLA (1. Backlog Project),511899,PTAR ALPURA CUATITLA,,,1. Backlog Project,,Active
511900: CCNA AUBURNDALE WAST (1. Backlog Project),511900,CCNA AUBURNDALE WAST,NAM,,1. Backlog Project,,Active
511913: TRANSALTA SARNIA RO (1. Backlog Project),511913,TRANSALTA SARNIA RO,NAM,,1. Backlog Project,,Active
511933: AIR LIQUIDE NORMANDH (1. Backlog Project),511933,AIR LIQUIDE NORMANDH,EUR,,1. Backlog Project,,Active
